,url,year
634,sv.ebay.com,0
635,www.ebay.fr,12
636,www.ebay.co.uk,22
637,gt.ebay.com,0
638,hn.ebay.com,0
639,www.ebay.com.hk,0
640,www.ebay.in,15
641,www.ebay.ie,19
642,il.ebay.com,0
643,www.ebay.it,20
644,www.ebay.co.jp,0
645,www.ebay.ca,20
646,kz.ebay.com,0
647,co.ebay.com,0
648,global.gmarket.co.kr,17
649,www.ebay.com.my,0
650,mx.ebay.com,0
651,www.ebay.nl,0
652,ni.ebay.com,0
653,www.ebay.at,0
654,pa.ebay.com,0
655,py.ebay.com,0
656,pe.ebay.com,0
657,www.ebay.ph,0
658,www.ebay.pl,18
659,pt.ebay.com,0
660,pr.ebay.com,0
661,ru.ebay.com,0
662,www.ebay.se,17
663,www.ebay.ch,0
664,www.ebay.com.sg,21
665,www.ebay.es,0
666,www.ebay.com.tw,0
667,www.ebay.co.th,0
668,www.gittigidiyor.com,0
669,uy.ebay.com,0
670,www.ebay.com,0
671,ve.ebay.com,0
672,by.ebay.com,0
673,trustsealinfo.websecurity.norton.com,0
674,campaign.booking.cn,17
675,cars.booking.com,0
676,www.opentable.com,0
677,partner.booking.com,0
678,careers.booking.com,0
679,news.booking.com,0
680,www.bookingholdings.com,0
681,admin.booking.com,0
682,hclips.com,5
683,upornia.com,6
684,hdzog.com,6
685,hotmovs.com,5
686,pornq.com,0
687,voyeurhit.com,11
688,tubepornclassic.com,9
689,vjav.com,13
690,100homemade.com,0
691,see.xxx,4
692,pornl.com,15
693,thegay.com,22
694,shemalez.com,20
695,txxx.com,20
696,tubecorporate.com,7
697,tubecup.uservoice.com,14
698,www.zhihu.com,13
699,zhuanlan.zhihu.com,0
700,app.mokahr.com,4
701,tsm.miit.gov.cn,0
702,www.beian.miit.gov.cn,0
703,zhstatic.zhihu.com,13
704,signin.ebay.co.uk,22
705,reg.ebay.co.uk,22
706,ocsnext.ebay.co.uk,22
707,my.ebay.co.uk,22
708,mesg.ebay.co.uk,22
709,reward.ebay.co.uk,22
710,cart.payments.ebay.co.uk,22
711,pages.ebay.co.uk,22
712,www.charity.ebay.co.uk,22
713,stores.ebay.co.uk,22
714,sellercentre.ebay.co.uk,22
715,www.ebayinc.com,0
716,www.gumtree.com,0
717,www.stubhub.co.uk,16
718,uk.shopping.com,0
719,www.ebay-mediacentre.co.uk,12
720,advertising.ebay.co.uk,22
721,www.ebaypartnernetwork.com,0
722,resolutioncentre.ebay.co.uk,22
723,community.ebay.co.uk,22
724,www2.ebay.com,0
725,www.uol.com.br,0
726,www.bol.uol.com.br,0
727,www.upfy.com.br,0
728,email.uol.com.br,0
729,social.api.uol.com.br,0
730,sac.uol.com.br,0
731,economia.uol.com.br,0
732,jornaldotempo.uol.com.br,0
733,batepapo.uol.com.br,0
734,noticias.uol.com.br,0
735,educacao.uol.com.br,0
736,tvefamosos.uol.com.br,0
737,uol.com.br,0
738,carros.uol.com.br,0
739,www.folha.uol.com.br,0
740,tvuol.uol.com.br,0
741,placar.uol.com.br,0
742,entretenimento.uol.com.br,0
743,telepadi.folha.uol.com.br,0
744,universa.uol.com.br,0
745,vivabem.uol.com.br,0
746,tilt.uol.com.br,0
747,ecoa.uol.com.br,0
748,videos.band.uol.com.br,0
749,caras.uol.com.br,0
750,www.redetv.uol.com.br,0
751,tab.uol.com.br,0
752,comidasebebidas.uol.com.br,0
753,start.uol.com.br,0
754,urbantaste.uol.com.br,0
755,viagem.uol.com.br,0
756,www1.folha.uol.com.br,0
757,marirodrigues.blogosfera.uol.com.br,0
758,liaassumpcao.blogosfera.uol.com.br,0
759,aventurasnahistoria.uol.com.br,0
760,esporte.uol.com.br,0
761,tenisbrasil.uol.com.br,0
762,painel.blogfolha.uol.com.br,0
763,agora.folha.uol.com.br,0
764,mayumisato.blogosfera.uol.com.br,0
765,doutorjairo.blogosfera.uol.com.br,0
766,ads.uol.com.br,0
767,sobreuol.noticias.uol.com.br,0
768,denuncia.uol.com.br,0
769,uol.com,24
770,produtos.uol.com.br,0
771,www.portaleducacao.com.br,0
772,aplicativos.uol.com.br,0
773,www.indiatimes.com,24
774,www.mensxp.com,12
775,www.idiva.com,0
776,www.whatshot.in,6
777,ad.apsalar.com,10
778,www.cricbuzz.com,0
779,www.businessinsider.in,8
780,www.gizmodo.in,15
781,www.gaana.com,0
782,www.in.techradar.com,17
783,zigwheels.com,0
784,www.mxplayer.in,3
785,longwalks.onelink.me,0
786,subscribe.timesgroup.com,23
787,timesprime.com,4
788,www.femina.in,15
789,magicbricks.com,15
790,speakingtree.in,13
791,stackexchange.com,11
792,meta.stackexchange.com,11
793,chat.stackexchange.com,11
794,stackoverflow.blog,0
795,stackoverflow.com,17
796,worldbuilding.stackexchange.com,0
797,scifi.stackexchange.com,11
798,puzzling.stackexchange.com,11
